Résumé,Clé de ticket,Lien de ticket sortant (Duplicate)
"Opération/ Vente/ Compte client - A l'importation des données d'un client à partir d’un fichier import, les types de prestations ne sont pas récupérer.",OD-3018,OBCS-11889
"Prise en compte des Inventaires dans les mouvements de stock",OD-3017,OBCS-11888
"Opération/vente/compte client : Suppression de base client.",OD-3016,OBCS-11887
"OPERATIONS/GESTION DE STOCK/MOUVEMENT DE STOCK/La demande de sortie de stock un article n'apparait pas la liste de sélection malgré que la quantité de stock disponible soit plus de 150",OD-3015,OBCS-11886
"SUIVI DES REQUETES WORKFLOWS/Des validations restent en attente dans le suivi de workflow mais dans le suivi des requêtes de workflows les demandes n'apparaissent pas",OD-3014,OBCS-11885
"PAIEMENT/CENTRE DE PAIEMENT/EXECUTER UN PAIEMENT/Message d'erreur qui empêche d'accéder au formulaire d'exécution de paiement",OD-3013,OBCS-11884
"RH/DOCUMENTS/BULLETIN DE SALAIRE/Impossible de visualiser les bulletins de salaire",OD-3012,OBCS-11883
"Finance/budget/Budget de dépense : Un message d'erreur s'affiche à l'enregistrement d'un budget de dépense.",OD-3011,OBCS-11882
"CLONE - RH V2/RECAP MISSION / frais de mission mensuel",OD-3010,
"RH V2/RECAP MISSION / frais de mission par département",OD-3009,
"RH V2/ RECAP SALAIRE / Recap absence",OD-3008,
"RH V2/ DASHBOARD/ Effectif par type de contrat",OD-3007,
"RH V2/ DASHBOARD/ Absences par département",OD-3006,
"RH V2/RECAP MISSION / missions par ville",OD-3005,
"RH V2/RECAP MISSION / missions par département",OD-3004,
"RH V2/ RECAP SALAIRE",OD-3003,
"RH V2/ DASHBOARD/ Point des salaires",OD-3002,
"RH V2/ DASHBOARD",OD-3001,
"RH V2/ DASHBOARD/ Suivi des absences par type",OD-3000,
"RH V2/ DASHBOARD/ diagramme donuts",OD-2999,
"Finance/comptabilité générale/Balance comptable: Ecart constaté dans la balance comptable au 21/11/2025.",OD-2998,OBCS-11818
"Opérations/Vente/Modèle débours : Prise en compte du modèle de débours de ETS MAB.",OD-2997,OBCS-11817
"RH/DOCUMENTS/Intégration de format de bulletin compressé sur une page",OD-2996,OBCS-11816
"CRM/OFFRE/PROGRAMME OFFRE BTP/ Nous constatons que les filtres ne fonctionnent pas",OD-2995,OBCS-11815
"CRM/ACTIVITE COMMERCIALE/GESTION DES OPPORTUNITES/Nous constatons qu'à l'enregistrement d'une opportunité à partir du programme offre BTP le type offre malgré coché offre BTP apparait en historique Offre générale",OD-2994,OBCS-11814
"test",OD-2993,
"Module Agro / Finance  –  Ajout de la fonctionnalité “Note de Débit”",OD-2987,OBCS-11812
"RH/Gestion employé/Contrat de stage : Donner la possibilité d'importé et d'exporté le contrat de stage.",OD-2986,OBCS-11811
"Finance/Budget/Rubrique dépense : Après importation de 291 rubriques budgétaires, OBC plante lorsqu'on effectue un budget de dépense",OD-2985,OBCS-11810
"Finance/Comptabilié Analytique / Comptabilité Comptes analytiques entité  - Créer un bouton export sur la compta analytiques",OD-2984,
"Rajouter une demande d’approvisionnement de caisse.",OD-2983,
