"Clé de ticket","Résumé","Création","Durée(mn)"
"OBCS-10040","Assistance RH","21/juin/25 08:28","1.34"
"OBCS-10041","RH / Info récupération de données pour importation","21/juin/25 08:30","3.15"
"OBCS-10042","Demande d'info sur employé pour traitement salaire","21/juin/25 08:32","2.34"
"OBCS-10043","Suite call","21/juin/25 08:32","0.12"
"OBCS-10044","Demande d'impression bulletin et correction paie","21/juin/25 08:34","3.15"
"OBCS-10045","Assistance","21/juin/25 08:35","0.41"
"OBCS-10046","Suite assistance","21/juin/25 08:35","0.35"
"OBCS-10047","Demande d'impression bulletin et correction paie Mois de Avril, Mai & juin","21/juin/25 08:42","2.8"
"OBCS-10048","Accès fonctionnalité Finance","21/juin/25 08:45","2.26"
"OBCS-10049","Demande d'info Solde de Tout compte","21/juin/25 08:49","0.18"
"OBCS-10050","Retour sur calcul Solde de Tout compte","21/juin/25 08:51","3.22"
"OBCS-10051","Retour sur calcul Solde de Tout compte","21/juin/25 08:52","3.22"
"OBCS-10052","Retour sur calcul Solde de Tout compte","21/juin/25 08:52","1.49"
"OBCS-10053","Confirmation suppression écriture comptable","21/juin/25 09:00","1.59"
"OBCS-10054","Demande d'assistance","21/juin/25 14:12","2.19"
"OBCS-10055","Demande d'assistance - Balance déséquilibré","21/juin/25 14:13","0.4"
"OBCS-10056","Balance déséquilibré","21/juin/25 14:14","0.4"
"OBCS-10057","Balance déséquilibré","21/juin/25 14:14","0.3"
"OBCS-10058","Demande d'assistance - Balance déséquilibré","21/juin/25 14:15","0.25"
"OBCS-10059","Balance déséquilibré","21/juin/25 14:16","0.34"
"OBCS-10060","Demande d'assistance - Balance déséquilibré","21/juin/25 14:16","0.47"
"OBCS-10061","Demande d'assistance - Balance déséquilibré","21/juin/25 14:18","6.3"
"OBCS-10062","Demande d'assistance - Balance déséquilibré","21/juin/25 14:19","6.3"
"OBCS-10063","Assistance online - Finance","21/juin/25 14:19","0.17"
"OBCS-10064","Assistance online - Finance","21/juin/25 14:20","0.35"
"OBCS-10065","Assistance online - Finance","21/juin/25 14:21","1.15"
"OBCS-10066","Assistance online - Finance","21/juin/25 14:22","5.22"
"OBCS-10067","Assistance online - Finance","21/juin/25 14:22","1.57"
"OBCS-10068","Assistance online - Finance","21/juin/25 14:22","1.51"
"OBCS-10069","Assistance RH","21/juin/25 14:25","5.16"
"OBCS-10070","Assistance RH","21/juin/25 14:26","6.15"
"OBCS-10071","Demande d'Information - Précision données solde de tout compte démission","21/juin/25 14:42","2.22"
"OBCS-10072","Demande d'Information - Précision données solde de tout compte demission","21/juin/25 14:42","0.36"
"OBCS-10073","Demande d'Information - Précision données solde de tout compte demission","21/juin/25 14:43","3.21"
"OBCS-10074","Demande d'Information - Précision données solde de tout compte démission","21/juin/25 14:43","0.27"
"OBCS-10075","Demande d'Information - Précision données solde de tout compte démission","21/juin/25 14:44","1.29"
"OBCS-10076","Demande d'Information - Précision données solde de tout compte démission","21/juin/25 14:46","3.16"
"OBCS-10077","Demande d'Information - Précision données solde de tout compte démission","21/juin/25 14:47","1.5"
"OBCS-10078","Demande d'Information - Précision données solde de tout compte démission","21/juin/25 14:47","1.12"
"OBCS-10079","Demande d'Information - Précision données solde de tout compte démission","21/juin/25 14:48","4.58"
"OBCS-10080","Demande d'Information - Précision données solde de tout compte démission","21/juin/25 14:48","0.28"
"OBCS-10081","Précision données solde de tout compte démission","21/juin/25 14:50","1.21"
"OBCS-10082","Précision données solde de tout compte démission","21/juin/25 14:50","2.18"
"OBCS-10083","Précision données solde de tout compte démission","21/juin/25 14:50","1.4"
"OBCS-10091","Assistance","22/juin/25 15:22","1.5"
"OBCS-10092","Assistance RH","22/juin/25 15:23","1.14"
"OBCS-10093","Assistance Calcul salaire - Conflit date Contrat","22/juin/25 15:23","2.46"
"OBCS-10094","Assistance Calcul salaire - Conflit date Contrat","22/juin/25 15:24","2.5"
"OBCS-10095","Assistance Calcul salaire","22/juin/25 15:25","2.5"
"OBCS-10096","Relance Module AGRO","22/juin/25 15:27","9.3"
"OBCS-10097","module AGRO","22/juin/25 15:28","3.46"
"OBCS-10098","Relance Module AGRO","22/juin/25 15:29","3.56"
"OBCS-10099","Relance Module AGRO","22/juin/25 15:29","2.29"
"OBCS-10130","Edition Attestation de travail","27/juin/25 18:58","0.2"
"OBCS-10131","Edition Attestation de travail","27/juin/25 18:58","0.32"
"OBCS-10132","Edition Attestation de travail","27/juin/25 18:58","1.18"
"OBCS-10133","Edition Attestation de travail","27/juin/25 18:59","0.36"
"OBCS-10134","Edition Attestation de travail","27/juin/25 18:59","0.36"
"OBCS-10135","Edition Attestation de travail","27/juin/25 18:59","1.6"
"OBCS-10136","Assistante Importation Journaux comptable","27/juin/25 19:01","3.41"
"OBCS-10137","Assistante Importation Journaux comptable","27/juin/25 19:02","11.1"
"OBCS-10138","Assistance Importation RAN","27/juin/25 19:03","11.1"
"OBCS-10139","Assistance Importation RAN - Recherche Erreur Journal et Importation données comptable","27/juin/25 19:04","14.41"
"OBCS-10140","Assistance Importation RAN - Recherche Erreur Journal et Importation données comptable","27/juin/25 19:04","10.49"
"OBCS-10141","Assistance Importation RAN - Recherche Erreur Journal et Importation données comptable","27/juin/25 19:05","3.51"
"OBCS-10142","Assistance Importation RAN - Recherche Erreur Journal et Importation données comptable","27/juin/25 19:05","0.44"
"OBCS-10143","Assistance Importation RAN - Recherche Erreur Journal et Importation données comptable","27/juin/25 19:06","0.44"
"OBCS-10144","Assistance Importation RAN - Recherche Erreur Journal et Importation données comptable","27/juin/25 19:07","3.49"
"OBCS-10145","Assistance Importation RAN - Recherche Erreur Journal et Importation données comptable","27/juin/25 19:07","1.1"
"OBCS-10146","Assistance Importation RAN - Recherche Erreur Journal et Importation données comptable","27/juin/25 19:08","2.49"
"OBCS-10147","Impossible de Faire des traitements RH","27/juin/25 19:15","3.14"
"OBCS-10148","Traitement données comptable - Equilibre balance","27/juin/25 19:18","6.14"
